goal,Goal/Subgoal,Layer,Description,Source
NP,NP,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Cod in subdivisions 22-24, western Baltic stock  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=10446"" target = ""_blank"">ICES database</a>"
NP,NP,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Cod in subdivisions 24-32, eastern Baltic stock  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=12941"" target = ""_blank"">ICES database</a>"
NP,NP,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Herring in subdivisions 20-24 -Skagerrak, Kattegat and western Batic-  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=12592"" target = ""_blank"">ICES database</a>"
NP,NP,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Herring in subdivisions 25-29,32 -central Baltic Sea (excluding Gulf of Riga)-  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=10408"" target = ""_blank"">ICES database</a>"
NP,NP,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Herring in subdivision 28.1 (Gulf of Riga)  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=10404"" target = ""_blank"">ICES database</a>"
NP,NP,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Herring in subdivisions 30-31 (Gulf of Bothnia)  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=12738"" target = ""_blank"">ICES database</a>"
NP,NP,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Sprat in subdivisions 22-32 (Baltic Sea)  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=12942"" target = ""_blank"">ICES database</a>"
NP,NP,"Cod Trawl Survey, Baltic International Trawl Survey (BITS) Cod Length and Weight - ICES subdivisions 21-29  ",,"<a href=""https://datras.ices.dk/Data_products/Download/Download_Data_public.aspx"" target = ""_blank"">ICES DATRAS database</a>"
NP,NP,"Cod Trawl Survey, Baltic International Trawl Survey (BITS) Cod CPUE - ICES subdivisions 21-29  ",,"<a href=""https://datras.ices.dk/Data_products/Download/Download_Data_public.aspx"" target = ""_blank"">ICES DATRAS database</a>"
NP,NP,"FMSY and BMSY Reference Points, Cod (Gadus morhua) in subdivisions 22–24, western Baltic stock (western Baltic Sea) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/cod.27.22-24.pdf"" target = ""_blank"">Reference points</a>"
NP,NP,"FMSY and BMSY Reference Points, Cod (Gadus morhua) in subdivisions 24–32, eastern Baltic stock (eastern Baltic Sea) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/cod.27.24-32.pdf"" target = ""_blank"">Reference points</a>"
NP,NP,"FMSY and BMSY Reference Points, Herring (Clupea harengus) in Subdivisions 20-24 (Skagerrak, Kattegat and western Baltic) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/her.27.20-24.pdf"" target = ""_blank"">Reference points</a>"
NP,NP,"FMSY and BMSY Reference Points, Herring (Clupea harengus) in Subdivisions 25-29,32 (excluding Gulf of Riga) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/her.27.25-2932.pdf"" target = ""_blank"">Reference points</a>"
NP,NP,"FMSY and BMSY Reference Points, Herring (Clupea harengus) in Subdivision 28.1 (Gulf of Riga) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/her.27.28.pdf"" target = ""_blank"">Reference points</a>"
NP,NP,"FMSY and BMSY Reference Points, Herring (Clupea harengus) in Subdivisions 30 and 31 (Gulf of Bothnia) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/her.27.3031.pdf"" target = ""_blank"">Reference points</a>"
NP,NP,"FMSY and BMSY Reference Points, Sprat (Sprattus sprattus) in Subdivisions 22-32 (Baltic Sea) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/spr.27.22-32.pdf"" target = ""_blank"">Reference points</a>"
FP,MAR,Rainbow trout mariculture Sweden,,"<a href=""https://www.scb.se/hitta-statistik/statistik-efter-amne/jord-och-skogsbruk-fiske/vattenbruk/vattenbruk/"" target = ""_blank"">Jorbruksverket database</a>"
MAR,MAR,Rainbow trout mariculture Sweden,,"<a href=""https://www.scb.se/hitta-statistik/statistik-efter-amne/jord-och-skogsbruk-fiske/vattenbruk/vattenbruk/"" target = ""_blank"">Jorbruksverket database</a>"
FP,MAR,Rainbow trout mariculture Denmark,,"<a href=""https://fiskeristyrelsen.dk/fiskeristatistik/akvakulturstatistik/"" target = ""_blank"">Ministry of Environment and Food of Denmark database</a>"
MAR,MAR,Rainbow trout mariculture Denmark,,"<a href=""https://fiskeristyrelsen.dk/fiskeristatistik/akvakulturstatistik/"" target = ""_blank"">Ministry of Environment and Food of Denmark database</a>"
FP,MAR,"Mariculture in Finland, Mariculture by Species (Rainbow Trout)",,"<a href=""http://statdb.luke.fi/PXWeb/pxweb/en/LUKE/LUKE__06%20Kala%20ja%20riista__02%20Rakenne%20ja%20tuotanto__10%20Vesiviljely/?tablelist=true&rxid=ef8a2896-d6cb-4660-a8aa-fee93bd4212f"" target = ""_blank"">Natural Resources Institute database</a>"
MAR,MAR,"Mariculture in Finland, Mariculture by Species (Rainbow Trout)",,"<a href=""http://statdb.luke.fi/PXWeb/pxweb/en/LUKE/LUKE__06%20Kala%20ja%20riista__02%20Rakenne%20ja%20tuotanto__10%20Vesiviljely/?tablelist=true&rxid=ef8a2896-d6cb-4660-a8aa-fee93bd4212f"" target = ""_blank"">Natural Resources Institute database</a>"
FP,MAR,"Mariculture in Finland, Total mariculture by Area",,"<a href=""http://statdb.luke.fi/PXWeb/pxweb/en/LUKE/LUKE__06%20Kala%20ja%20riista__02%20Rakenne%20ja%20tuotanto__10%20Vesiviljely/?tablelist=true&rxid=ef8a2896-d6cb-4660-a8aa-fee93bd4212f"" target = ""_blank"">Natural Resources Institute database</a>"
MAR,MAR,"Mariculture in Finland, Total mariculture by Area",,"<a href=""http://statdb.luke.fi/PXWeb/pxweb/en/LUKE/LUKE__06%20Kala%20ja%20riista__02%20Rakenne%20ja%20tuotanto__10%20Vesiviljely/?tablelist=true&rxid=ef8a2896-d6cb-4660-a8aa-fee93bd4212f"" target = ""_blank"">Natural Resources Institute database</a>"
FP,MAR,Rainbow trout mariculture Germany,,"<a href=""NA"" target = ""_blank"">Email from plant manager</a>"
MAR,MAR,Rainbow trout mariculture Germany,,"<a href=""NA"" target = ""_blank"">Email from plant manager</a>"
FP,MAR,Finfish Mariculture,,"<a href=""http://maps.helcom.fi/website/mapservice/?datasetID=3cfa469a-6a78-4913-b82f-57fd0e7f4dc0"" target = ""_blank"">HELCOM database</a>"
MAR,MAR,Finfish Mariculture,,"<a href=""http://maps.helcom.fi/website/mapservice/?datasetID=3cfa469a-6a78-4913-b82f-57fd0e7f4dc0"" target = ""_blank"">HELCOM database</a>"
FP,MAR,"All Baltic countries, Aquaculture Production (FAO)",,"<a href=""http://www.fao.org/fishery/statistics/software/fishstatj/en#downlApp"" target = ""_blank"">FAO FishStatJ</a>"
MAR,MAR,"All Baltic countries, Aquaculture Production (FAO)",,"<a href=""http://www.fao.org/fishery/statistics/software/fishstatj/en#downlApp"" target = ""_blank"">FAO FishStatJ</a>"
FP,MAR,Reference Point: maximum nutrient discharge (N and P),,"<a href=""http://www.helcom.fi/Recommendations/Rec%2025-4.pdf,"" target = ""_blank"">maximum nutrient discharge for P and N</a>"
MAR,MAR,Reference Point: maximum nutrient discharge (N and P),,"<a href=""http://www.helcom.fi/Recommendations/Rec%2025-4.pdf,"" target = ""_blank"">maximum nutrient discharge for P and N</a>"
FP,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Cod in subdivisions 22-24, western Baltic stock  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=10446"" target = ""_blank"">ICES database</a>"
FIS,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Cod in subdivisions 22-24, western Baltic stock  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=10446"" target = ""_blank"">ICES database</a>"
FP,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Cod in subdivisions 24-32, eastern Baltic stock  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=12941"" target = ""_blank"">ICES database</a>"
FIS,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Cod in subdivisions 24-32, eastern Baltic stock  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=12941"" target = ""_blank"">ICES database</a>"
FP,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Herring in subdivisions 20-24 -Skagerrak, Kattegat and western Batic-  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=12592"" target = ""_blank"">ICES database</a>"
FIS,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Herring in subdivisions 20-24 -Skagerrak, Kattegat and western Batic-  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=12592"" target = ""_blank"">ICES database</a>"
FP,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Herring in subdivisions 25-29,32 -central Baltic Sea (excluding Gulf of Riga)-  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=10408"" target = ""_blank"">ICES database</a>"
FIS,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Herring in subdivisions 25-29,32 -central Baltic Sea (excluding Gulf of Riga)-  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=10408"" target = ""_blank"">ICES database</a>"
FP,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Herring in subdivision 28.1 (Gulf of Riga)  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=10404"" target = ""_blank"">ICES database</a>"
FIS,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Herring in subdivision 28.1 (Gulf of Riga)  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=10404"" target = ""_blank"">ICES database</a>"
